patient_id,budget,dice_score,num_slices_corrected
BraTS-GLI-00008-103,0.05,0.0018854727366724446,7
BraTS-GLI-00008-103,0.1,0.0018854727366724446,15
BraTS-GLI-00008-103,0.2,0.0018854727366724446,31
BraTS-GLI-00008-103,0.3,0.0018859315589353613,46
BraTS-GLI-00008-103,0.5,0.002117703316596646,77
BraTS-GLI-00009-100,0.05,0.0009326784739792628,7
BraTS-GLI-00009-100,0.1,0.0009326784739792628,15
BraTS-GLI-00009-100,0.2,0.0009326784739792628,31
BraTS-GLI-00009-100,0.3,0.0009336233525024085,46
BraTS-GLI-00009-100,0.5,0.0009543825449524332,77
