patient_id,budget,dice_score,num_slices_corrected
BraTS-GLI-00008-103,0.05,0.019489789584755758,7
BraTS-GLI-00008-103,0.1,0.07580579098270267,15
BraTS-GLI-00008-103,0.2,0.1558315544343101,31
BraTS-GLI-00008-103,0.3,0.2609490905395793,46
BraTS-GLI-00008-103,0.5,0.37750385208012327,77
BraTS-GLI-00009-100,0.05,0.07607335989069146,7
BraTS-GLI-00009-100,0.1,0.18954044690484484,15
BraTS-GLI-00009-100,0.2,0.3181613495444941,31
BraTS-GLI-00009-100,0.3,0.47425648614305704,46
BraTS-GLI-00009-100,0.5,0.6414879202730618,77
